1: 김진석 : 크고딩때맨날몬스터베이비사먹었는데.몬스터베이비장성한것보소
70: 존시나 : 입찢어지것다
71: 드락카YouTube : 썸네일쩐다
72: 척안의대통령 : 맛있겠다!!!!!!!!!!!
73: 남성인권부 : 공짜쿠폰.뿌려주셈
74: 한.별 : 저거이름버거크닭아니에욤??
75: 인간 : 헉몬스터베이비만먹었는데이제저거만머거야지ㅎㅎㅎㅎ
76: Viunl비운 : 먹을만함ㅇㅇ믿고먹는버거킹
77: ᄋᄋ : 너무큼먹기불편해서별로일듯
78: 국가원수 : 장첸
79: 야한밤 : 장첸
80: 미카츠키 : 맛있겠다..
81: 찰져비개 : ㅋ.ㅋ.ㅋ.ㅋ.ㅋxwonseox@gmail.com
82: jeonseongkang : 놀라는것주작인듯
83: ren11ren : 모델이윤계상이라봤네ㅋㅋ
84: rainbowriver89 : 역대급버거임진짜ㅋㅋㅋㅋ성인남자가먹기에도버거운사이즈다
85: 한상포 : 제가지금
86: SeunghoCho : 버거킹하고맘스터치가답이다ㅠㅠ
87: 깜찌칸에두멋 : 얼굴을파묻었네ㅋㅋㅋㅋㅋㅋ
88: 메크루 : 저햄버거이름머에요?
89: su민아 : 턱빠지는광고내여
90: 허묵 : 배달도안되는데뭘..사먹냐
91: 서영우 : 경희의료원근처에있던거어디갔어ㅜ
92: ᄋᄋ : 버거킹의참맛은....패티에서나는그릴타는냄새와~~캐찹마요네즈를섞은소쓰가참맛인데....
93: 민서 : 완전크다...광고에서댓은처음ㅋㅋ
94: 박새준 : 저번에버거킹가서2개주문했는대생각보다커요가격은비싸지만
95: 문재인 : 버거먹으러왔는데..이것까지시켜야되니?
96: 이혜정 : 윤계상따라먹어봐야겠다.융계좋아
97: 네바다 : ?
98: 레드존입니다 : 크장유신문동버거킹생긴거넘나좋은것
99: djassmode : 크긴했음.
100: ProDoucher : 건강에치명적일거같다...
101: 진지충 : 입찢어질라.근데얼마에요?
102: 짱짱맨 : 칼로리ㅈㄴ많겠네요...전늘버거킹와퍼버거만사먹는데...
103: 영원한기린 : 우와윤계상이찍을줄이야..
104: 터틀맨잊지않을게요 : 몬스터와퍼존나오래됐는데
105: R2STo'랑스 : 로다주가좋아합니다
106: 화늑드소 : ㄷㄴㄷㄴㄷ
107: 문슬람개돼지를팩트폭행하는작은마구니 : 저렇게큰정도는아닌데...크기는확실히큼
108: 김장현 : 옆동네롯데읍읍맘스읍읍맥도읍읍와는클라스가틀리구만역시햄버거는버거킹이다ㅋ
109: 김용래 : 걍만들어먹죠
110: 시진핑핑이 : 저정돈아닌데햄최2개(빅맥,함박)조지는나도다먹으니까배부르드라
111: 도효원 : 먹고싶다....군침
112: 박준석 : 매워이거
113: sungcho : 오늘점심각
114: 루딜 : 밤에보면안될영상이유:햄버거가먹고싶어져서🍔
115: 포도멍뭉이 : 저정도론크지않을듯.....
116: 렘이누구야?빨간머리! : 광고를보러들어오다닡
117: 김대성 : 베어먹기넘커서잘라서먹음
118: 소녀 : 아직안먹었지만제발저렇게생겼으면좋겠다..
119: ForestMan : 장첸얼굴이버거로가려질때가순간존웃
120: 게이죽이기 : 실제로먹어보면맛은있다.코리안버거킹역대급인듯..
